Srno,TranslatedRecipeName,Cuisine,Image_URL,Price
10,Veg Chili Cheese Burgers,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Veg_Chili_Cheese_Burgers_Recipe.jpg,290
15,Tater Tots,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Homemade_Tater_Tots.jpg,387
39,Whole Wheat Pita Bread,Continental,https://www.archanaskitchen.com/images/archanaskitchen/World_Breads/Home_Made_Pita_Bread_Recipe-1.jpg,197
41,Herbal Brown Rice,Continental,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/July-25/Herbed_Brown_Rice_Recipe-3_1600.jpg,128
47,Pan Fried Rice Balls Filled With Cheese,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Karthika_Gopalakrishnan/Pan_Fried_Rice_Balls_filled_with_Cheese.jpg,313
55,Tomato Relish,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Gauravi_Vinay/Tomato_Relish.jpg,190
58,Mango Donut Cake With Chocolate Glaze,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/firsttimercook/Mango_Donut_Doughnut_Cake_with_Chocolate_Glaze_1600.jpg,353
60,Zucchini Roll Up Lasagne,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Zucchini_Roll_Up_Lasagne_Recipe_.jpg,381
71,Walnut And Flax Seed Trail Mix With Figs And Honey,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shyma_Menon/Walnut_and_Flax_Seeds_Trail_Mix_Recipe_With_Figs_and_Honey-3_1600.jpg,112
77,Carrot Corn Mayo Pancake With Sandwich Spread,Continental,https://www.archanaskitchen.com/images/archanaskitchen/10-Brands/Del_Monte_Mayo/Carrot-Corn-Sandwich-Spread-Mayo-Pancakes2.jpg,158
93,Lemon Frozen Yogurt,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/ruby_pathak-yahoo.com/Lemon_Frozen_Yogurt.jpg,211
94,Paneer Capsicum Sandwich,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Paneer_Capsicum_Sandwich_Recipe.jpg,124
102,Oreo Milkshake,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/oreo-milkshake-recipe.jpg,391
139,Granola Mix With Oats & Wheat Flakes,Continental,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Rekha_Shivakumar/Homemade_Granola_Mix_Recipe_with_Oats_and_Wheat_Flakes-1.jpg,179
